Z(tot),Canalyzer,Node
0.18,1,Other
1.21,0,Other
-0.85,1,Other
-0.33,0,Other
0.18,1,Other
2.24,4,Imp
-0.85,2,Imp
-0.33,2,Other
-0.85,0,Other
0.18,1,Other
-0.85,0,Other
-0.85,1,Other
0.18,1,Other
-0.26,2,Imp
1.4,4,Imp
-0.81,2,Imp
-0.26,1,Other
1.95,3,Imp
-0.81,0,Other
0.29,1,Other
-0.26,2,Other
-0.81,1,Other
-1.37,0,Other
0.29,3,Other
-1.37,0,Other
-0.81,0,Other
0.85,1,Imp
-0.26,1,Other
1.5,3,Other
0.93,1,Other
0.22,4,Imp
1.41,5,Imp
0.52,4,Imp
-0.07,4,Imp
-0.07,4,Imp
-0.97,1,Other
2.31,10,Imp
-0.97,2,Imp
-0.37,4,Imp
-0.67,4,Imp
-0.67,4,Other
-0.67,3,Other
-0.57,2,Imp
-0.57,2,Imp
-0.57,2,Imp
-0.57,2,Imp
-0.57,2,Imp
-0.57,1,Other
1.16,2,Imp
-0.57,0,Other
-0.57,0,Other
-0.57,1,Other
-0.22,0,Other
0.13,3,Other
1.86,0,Imp
2.9,5,Imp
-0.22,0,Other
-0.57,1,Other
-0.57,1,Other
1.86,2,Imp
-0.57,1,Other
-0.57,1,Other
0.13,0,Other
-0.22,1,Other
1.46,4,Imp
0,3,Imp
0.49,1,Other
0.97,3,Imp
0.49,2,Other
0,0,Other
-1.46,1,Other
-1.46,1,Other
-0.49,0,Other
-0.69,2,Imp
-0.69,2,Imp
-0.69,2,Imp
-0.69,2,Imp
-0.69,0,Other
-0.03,1,Other
-0.69,1,Other
2.6,4,Imp
1.94,2,Imp
-0.03,1,Other
-0.69,0,Other
-0.69,1,Other
-0.03,0,Other
-0.03,1,Other
1.94,1,Other
-0.69,1,Other
0.63,2,Imp
1.29,2,Imp
-0.03,1,Imp
-0.03,1,Other
-0.69,1,Other
-0.69,1,Other
-0.69,1,Other
1.43,4,Imp
-1.11,1,Other
-0.47,2,Other
-1.11,1,Other
0.8,3,Imp
0.16,3,Other
-0.47,1,Other
0.16,2,Other
-1.11,1,Other
0.16,2,Other
0.16,1,Other
0.16,1,Other
2.07,1,Other
2.71,2,Imp
0.16,2,Imp
-0.47,2,Imp
0.16,0,Other
-1.11,0,Other
2.71,4,Imp
-1.11,1,Other
-1.11,1,Other
-1.11,1,Other
0.16,2,Other
-0.47,1,Other
-1.11,1,Other
-1.11,1,Other
-0.47,1,Other
0.8,2,Imp
-0.47,2,Other
0.8,3,Other
1.43,2,Other
0.4,3,Imp
1.97,4,Imp
-0.12,0,Imp
-0.64,1,Other
-0.12,0,Other
-1.16,1,Other
-1.16,1,Other
0.92,1,Imp
-0.12,2,Other
-0.51,0,Other
-0.09,1,Imp
1.6,1,Imp
-0.51,1,Imp
-0.94,1,Other
0.33,1,Other
-0.94,1,Imp
0.76,3,Other
1.18,1,Imp
-0.09,0,Other
-0.09,0,Other
-1.79,0,Other
1.6,0,Other
-0.51,3,Imp
-0.23,0,Other
0.55,2,Imp
-0.42,0,Other
-0.62,0,Other
0.75,3,Imp
0.16,0,Imp
0.95,3,Imp
2.31,6,Imp
-0.81,1,Other
-1.2,0,Other
-0.81,1,Other
-1.4,0,Other
-0.81,2,Other
-0.23,0,Other
1.73,5,Imp
-0.62,0,Imp
-0.42,2,Other
1.14,3,Imp
-0.03,4,Imp
-0.44,1,Imp
-0.44,1,Imp
-0.71,0,Other
0.09,1,Other
-0.44,1,Other
-0.44,1,Other
-0.18,1,Other
-0.44,1,Other
0.62,2,Other
0.09,1,Other
-0.44,0,Other
-0.18,1,Other
-0.44,0,Other
-0.44,1,Other
0.09,3,Imp
-0.18,1,Imp
0.09,1,Imp
3.8,18,Imp
-0.07,4,Other
-0.97,2,Other
-0.97,2,Other
-0.52,2,Other
-0.52,2,Other
-0.07,3,Other
-0.07,2,Imp
0.84,4,Other
0.84,4,Other
2.65,4,Other
1.29,2,Other
-0.07,1,Other
0.39,3,Other
-1.43,1,Other
0.39,2,Other
-1.43,1,Other
0.39,2,Other
0.84,2,Other
-0.97,0,Other
-0.52,4,Imp
0.88,2,Other
-1.52,0,Other
-0.72,2,Other
0.88,2,Imp
2.48,4,Imp
1.68,2,Other
-0.72,1,Other
-0.72,1,Other
-0.72,1,Other
0.88,3,Other
-0.72,1,Other
0.08,2,Other
0.88,1,Other
-0.72,1,Other
-0.72,0,Other
0.08,1,Other
0.08,1,Other
0.08,1,Other
-0.72,2,Imp
-0.72,2,Imp
1.19,5,Imp
-0.87,1,Other
1.19,4,Imp
-0.87,1,Other
-0.87,2,Other
-0.87,0,Other
-0.87,0,Other
2.22,4,Imp
1.19,3,Other
-0.87,1,Other
-0.36,0,Other
0.16,1,Other
-0.87,3,Imp
-0.36,0,Imp
1.19,1,Other
0.67,3,Other
0.16,1,Other
-1.39,1,Other
-0.36,1,Other
-0.36,0,Other
-0.36,1,Other
-0.36,2,Other
1.7,2,Imp
-0.75,1,Other
-0.75,0,Other
-0.75,1,Other
1.11,3,Other
-0.13,0,Other
-0.13,0,Other
-0.75,0,Other
-0.13,2,Other
1.11,2,Other
-0.75,1,Other
1.11,2,Imp
-0.75,0,Other
-0.75,1,Other
0.49,1,Other
0.49,1,Other
-0.75,2,Imp
2.68,6,Imp
-0.13,1,Other
-0.75,1,Other
-0.84,1,Imp
1.67,4,Imp
0,1,Other
0,1,Other
0.84,1,Imp
0,0,Imp
0,1,Other
-1.67,0,Other
-1.02,1,Other
-0.64,0,Other
-0.64,0,Other
0.51,2,Imp
-0.64,1,Other
-0.25,2,Imp
0.13,1,Imp
-1.02,0,Other
1.27,1,Imp
-1.4,0,Other
-1.02,1,Other
0.51,2,Imp
0.13,1,Other
-1.02,0,Other
-1.02,1,Other
0.51,3,Other
-1.4,0,Other
-0.25,1,Other
0.13,0,Other
-0.64,1,Other
1.27,6,Other
0.89,1,Imp
0.89,2,Imp
1.27,3,Imp
1.27,6,Other
-0.64,1,Other
1.27,1,Other
2.8,10,Imp
0.13,1,Imp
-1.02,1,Other
0.51,2,Other
-1.02,0,Other
0.13,0,Other
1.52,2,Imp
0.29,1,Other
-0.95,1,Other
-0.53,2,Other
0.29,1,Other
-0.12,1,Other
-0.95,1,Other
-0.53,0,Other
0.7,3,Other
-0.53,1,Other
-0.12,3,Other
3.17,6,Imp
0.29,1,Imp
0.29,1,Other
0.29,2,Other
0.29,3,Imp
-0.95,2,Imp
-0.95,2,Imp
-0.95,2,Imp
-0.53,2,Imp
1.78,1,Imp
-0.44,0,Other
-0.44,2,Other
1.04,2,Imp
0.3,0,Other
-0.44,3,Imp
-1.19,0,Other
1.04,1,Other
-1.19,0,Other
-0.44,0,Other
2.83,2,Hub
2.8,5,Hub
3.19,5,Hub
3.28,5,Hub
2.76,1,Hub
2.96,3,Hub
2.75,4,Hub
2.75,2,Hub
2.75,2,Hub
2.75,4,Hub
2.75,5,Hub
2.9,5,Hub
2.6,4,Hub
2.71,2,Hub
2.71,4,Hub
3.8,18,Hub
2.65,4,Hub
2.68,6,Hub
2.8,10,Hub
3.17,6,Hub
